SUBCOUNTY,YEAR,TOTAL,AGENCY
GATANGA,2011,192841,COUNTY_GOV
GATANGA,2012,219071,COUNTY_GOV
GATANGA,2013,270326,COUNTY_GOV
KANDARA,2011,260163,COUNTY_GOV
KANDARA,2012,248029,COUNTY_GOV
KANDARA,2013,285628,COUNTY_GOV
KANGEMA,2011,185353,COUNTY_GOV
KANGEMA,2012,176264,COUNTY_GOV
KANGEMA,2013,184576,COUNTY_GOV
KIGUMO,2011,178964,COUNTY_GOV
KIGUMO,2012,176701,COUNTY_GOV
KIGUMO,2013,185241,COUNTY_GOV
KIHARU,2011,269310,COUNTY_GOV
KIHARU,2012,254968,COUNTY_GOV
KIHARU,2013,356694,COUNTY_GOV
MATHIOYA,2011,120457,COUNTY_GOV
MATHIOYA,2012,122879,COUNTY_GOV
MATHIOYA,2013,125409,COUNTY_GOV
MURANG`A SOUTH,2011,279505,COUNTY_GOV
MURANG`A SOUTH,2012,232923,COUNTY_GOV
MURANG`A SOUTH,2013,259618,COUNTY_GOV
